Date,Carbon_Price,CO2_Emissions,GDP,Oil_Price,Coal_Price,Gas_Price,Renewable_Energy_Index,Temperature,Trading_Volume,Regulatory_Changes,Technological_Advances,Global_Events
2020-01-31,36.464405117819744,1315.4283509241839,79325.64674050416,72.24775956184342,23.723860117606723,3.727711211846463,74.86956827493313,13.891338465180324,42830.684828052596,1,0,0
2020-02-29,41.455680991172585,1363.7107709426227,51005.37730937468,68.15554334161465,38.88744779967867,2.235063711924066,81.97362581993619,15.607197068988421,46353.74873650954,1,0,1
2020-03-31,38.082901282149315,1570.1967704178796,91447.00146086815,44.009075492492045,34.791015900985755,3.034758214308228,68.42923030648087,18.813994527945837,42620.952750742756,1,0,0
2020-04-30,36.34649548990691,1438.6015134623203,50234.77380962735,76.77930454978694,29.809176172351343,2.264136212690307,56.84501358427995,14.092328536367006,16376.578537958238,1,0,0
2020-05-31,32.709643980167144,1988.3738380592263,83890.8268398115,68.56965198196445,24.548292559466464,3.4337193623851876,91.10588665971227,15.56279198826833,35155.93756246801,0,1,0
2020-06-30,39.37682339199968,1102.044810748028,63500.39865960824,79.95388026271466,25.08712963540786,2.7921194056145877,59.4923955951379,12.955814202784595,25937.370344787083,1,1,0
2020-07-31,33.127616337880774,1208.8767560948347,86759.70110612974,45.97793218631975,21.16058320647751,3.130842623717018,75.5659491273228,16.897838256340112,12508.518080933827,0,0,1
2020-08-31,46.753190023462395,1161.3095178849962,98109.42725587191,74.72504229472857,28.688332511162415,2.3665596724281572,61.21585144873696,10.669184518811711,26961.29007559368,0,1,0
2020-09-30,48.90988281503088,1653.1083254653986,62437.6571759979,46.49971738705499,26.235917639882054,2.2896955186867545,54.8922242247017,21.99693826855927,20347.36267557631,1,0,0
2020-10-31,31.50324556477333,1253.2916025397822,78807.86672089185,64.62238257135377,33.92686977630919,2.976112561297909,93.10957587108416,11.15434670479949,43961.53233714043,1,0,0
2020-11-30,43.75175114247994,1466.3107728563064,79602.09656359194,44.952799313977664,27.555036785849616,2.7112254756999112,98.64597445115652,17.78252723247289,11332.185061867847,1,1,1
2020-12-31,35.866847592587135,1244.4255920016028,78612.59528954366,73.92032917288938,23.592073551192698,3.8808638905056263,98.04173290315,14.602151493177942,48359.30887453894,1,0,1
2021-01-31,37.04133683281797,1158.9695836455198,61154.08163203092,72.29275834900042,20.493574567826624,3.5306505076139305,95.32777496105895,18.663144232470632,24214.753938877184,1,1,0
2021-02-28,47.76789914877983,1110.3751411643052,97637.45057584925,62.764029544583735,21.344992629264972,3.497327239701095,88.70236663493193,24.391500112501376,24268.275616101717,0,0,1
2021-03-31,22.13108174593661,1656.3295894652733,72356.26893088137,56.28733188903999,33.587855469971345,3.807439479491867,66.6572576014321,19.68355366684006,10653.140107348316,0,0,0
2021-04-30,22.61387899104622,1138.1829513486139,92320.4336235564,42.766679818205525,29.07393689112091,2.166844870884037,54.055069499399835,10.530436536332363,17409.293009447356,1,0,0
2021-05-31,20.60655192320977,1196.5823616800535,84973.96376587522,67.89715092578254,30.731584222174444,3.104384939844813,70.36205857069037,16.45603659262092,26050.38003214435,0,0,0
2021-06-30,44.97859536643814,1368.725170660964,64871.84754275668,58.14170730712276,37.93342586080684,3.1689521379115377,61.61170710854714,17.650252784773755,47171.656692108554,0,1,1
2021-07-31,43.34470252849552,1820.9932298479353,90689.89098512387,68.88222397881393,39.80677894793409,3.923872757094458,56.62438173789915,18.04266242055178,13984.597208850853,1,0,0
2021-08-31,46.10036444740457,1097.1012757930612,69825.28704234923,74.65529303714517,24.33793968796948,2.5842950535850977,52.671359089341266,20.220887659057567,47812.06133916318,1,0,0
2021-09-30,49.35855026698292,1837.9449074988038,94055.15985555807,79.02086020011544,33.261564062002016,2.481657559830894,86.27971821052894,14.163941465976492,44779.541221865285,1,1,0
